Date;Antenna;Data;Time (secs)
Wed Aug 27 14:27:14 2008; TP Ant 1;90611.92188;129
Wed Aug 27 14:27:15 2008; TP Ant 1;90135.3125;130
Wed Aug 27 14:27:16 2008; TP Ant 1;90574.92188;131
Wed Aug 27 14:27:17 2008; TP Ant 1;90147.86719;132
Wed Aug 27 14:27:18 2008; TP Ant 1;90131.42969;133
Wed Aug 27 14:27:19 2008; TP Ant 1;90966.28125;134
Wed Aug 27 14:27:20 2008; TP Ant 1;90428.54688;135
Wed Aug 27 14:27:21 2008; TP Ant 1;91002;136
Wed Aug 27 14:27:22 2008; TP Ant 1;90923.90625;137
Wed Aug 27 14:27:23 2008; TP Ant 1;90418.16406;138
Wed Aug 27 14:27:24 2008; TP Ant 1;91205.03906;139
Wed Aug 27 14:27:25 2008; TP Ant 1;90707.75;140
Wed Aug 27 14:27:26 2008; TP Ant 1;90245.10938;141
Wed Aug 27 14:27:27 2008; TP Ant 1;89797.21875;142
Wed Aug 27 14:27:28 2008; TP Ant 1;90069.29688;143
Wed Aug 27 14:27:29 2008; TP Ant 1;90395.22656;144
Wed Aug 27 14:27:30 2008; TP Ant 1;90347.5;145
Wed Aug 27 14:27:31 2008; TP Ant 1;90588.96875;146
Wed Aug 27 14:27:32 2008; TP Ant 1;90326.92188;147
Wed Aug 27 14:27:33 2008; TP Ant 1;90259.5625;148
Wed Aug 27 14:27:34 2008; TP Ant 1;90524.28125;149
Wed Aug 27 14:27:35 2008; TP Ant 1;90383.1875;150
Wed Aug 27 14:27:36 2008; TP Ant 1;91132.5;151
Wed Aug 27 14:27:37 2008; TP Ant 1;90836.21094;152
Wed Aug 27 14:27:38 2008; TP Ant 1;90578.67188;153
Wed Aug 27 14:27:39 2008; TP Ant 1;90308.50781;154
Wed Aug 27 14:27:40 2008; TP Ant 1;90329.04688;155
Wed Aug 27 14:27:41 2008; TP Ant 1;90569.89063;156
Wed Aug 27 14:27:42 2008; TP Ant 1;90234.60156;157
Wed Aug 27 14:27:43 2008; TP Ant 1;90379.89844;158
Wed Aug 27 14:27:44 2008; TP Ant 1;89978.1875;159
Wed Aug 27 14:27:45 2008; TP Ant 1;91003.85156;160
Wed Aug 27 14:27:46 2008; TP Ant 1;90170.66406;161
Wed Aug 27 14:27:47 2008; TP Ant 1;90552.25;162
Wed Aug 27 14:27:48 2008; TP Ant 1;90707.42188;163
Wed Aug 27 14:27:49 2008; TP Ant 1;90613.64063;164
Wed Aug 27 14:27:50 2008; TP Ant 1;90267.61719;165
Wed Aug 27 14:27:51 2008; TP Ant 1;90456.17188;166
Wed Aug 27 14:27:52 2008; TP Ant 1;90356.125;167
Wed Aug 27 14:27:53 2008; TP Ant 1;90728.66406;168
Wed Aug 27 14:27:54 2008; TP Ant 1;90393.76563;169
Wed Aug 27 14:27:55 2008; TP Ant 1;90855.15625;170
Wed Aug 27 14:27:56 2008; TP Ant 1;90391.39063;171
Wed Aug 27 14:27:57 2008; TP Ant 1;90657.78906;172
Wed Aug 27 14:27:58 2008; TP Ant 1;90579.25781;173
Wed Aug 27 14:27:59 2008; TP Ant 1;90413.45313;174
Wed Aug 27 14:28:00 2008; TP Ant 1;90576.125;175
Wed Aug 27 14:28:01 2008; TP Ant 1;90705.82031;176
Wed Aug 27 14:28:02 2008; TP Ant 1;90662.92969;177
Wed Aug 27 14:28:03 2008; TP Ant 1;90335.25;178
Wed Aug 27 14:28:04 2008; TP Ant 1;90446.41406;179
Wed Aug 27 14:28:05 2008; TP Ant 1;90817.35156;180
Wed Aug 27 14:28:06 2008; TP Ant 1;90287.76563;181
Wed Aug 27 14:28:07 2008; TP Ant 1;90891.75781;182
Wed Aug 27 14:28:08 2008; TP Ant 1;91259.03125;183
Wed Aug 27 14:28:09 2008; TP Ant 1;91031.07031;184
Wed Aug 27 14:28:10 2008; TP Ant 1;90221.26563;185
Wed Aug 27 14:28:11 2008; TP Ant 1;90283.26563;186
Wed Aug 27 14:28:12 2008; TP Ant 1;90511.96875;187
Wed Aug 27 14:28:13 2008; TP Ant 1;90262.67188;188
Wed Aug 27 14:28:14 2008; TP Ant 1;90167.46875;189
Wed Aug 27 14:28:15 2008; TP Ant 1;90193.23438;190
Wed Aug 27 14:28:16 2008; TP Ant 1;90232;191
Wed Aug 27 14:28:17 2008; TP Ant 1;90111.98438;192
Wed Aug 27 14:28:18 2008; TP Ant 1;90669.71875;193
Wed Aug 27 14:28:19 2008; TP Ant 1;90033.11719;194
Wed Aug 27 14:28:20 2008; TP Ant 1;89711.70313;195
Wed Aug 27 14:28:21 2008; TP Ant 1;90681.4375;196
Wed Aug 27 14:28:22 2008; TP Ant 1;90465.35938;197
Wed Aug 27 14:28:23 2008; TP Ant 1;89625.50781;198
Wed Aug 27 14:28:24 2008; TP Ant 1;90597.625;199
Wed Aug 27 14:28:25 2008; TP Ant 1;89940.78125;200
Wed Aug 27 14:28:26 2008; TP Ant 1;90239.21875;201
Wed Aug 27 14:28:27 2008; TP Ant 1;90155.22656;202
Wed Aug 27 14:28:28 2008; TP Ant 1;90090.3125;203
Wed Aug 27 14:28:29 2008; TP Ant 1;90220.76563;204
Wed Aug 27 14:28:30 2008; TP Ant 1;90171.58594;205
Wed Aug 27 14:28:31 2008; TP Ant 1;90471.57813;206
Wed Aug 27 14:28:32 2008; TP Ant 1;90566.45313;207
Wed Aug 27 14:28:33 2008; TP Ant 1;90735.9375;208
Wed Aug 27 14:28:34 2008; TP Ant 1;90528.875;209
Wed Aug 27 14:28:35 2008; TP Ant 1;90692.85938;210
Wed Aug 27 14:28:36 2008; TP Ant 1;90044.95313;211
Wed Aug 27 14:28:37 2008; TP Ant 1;90075.20313;212
Wed Aug 27 14:28:38 2008; TP Ant 1;90321.54688;213
Wed Aug 27 14:28:39 2008; TP Ant 1;90469.57813;214
Wed Aug 27 14:28:40 2008; TP Ant 1;91041.01563;215
Wed Aug 27 14:28:41 2008; TP Ant 1;90402.07813;216
Wed Aug 27 14:28:42 2008; TP Ant 1;90410.75781;217
Wed Aug 27 14:28:43 2008; TP Ant 1;90170.89063;218
Wed Aug 27 14:28:44 2008; TP Ant 1;89951.02344;219
Wed Aug 27 14:28:45 2008; TP Ant 1;90214.51563;220
Wed Aug 27 14:28:46 2008; TP Ant 1;90168.625;221
Wed Aug 27 14:28:47 2008; TP Ant 1;90426.42188;222
Wed Aug 27 14:28:48 2008; TP Ant 1;90019.14063;223
Wed Aug 27 14:28:49 2008; TP Ant 1;90707.03906;224
Wed Aug 27 14:28:50 2008; TP Ant 1;90167.96875;225
Wed Aug 27 14:28:51 2008; TP Ant 1;90442.39063;226
Wed Aug 27 14:28:52 2008; TP Ant 1;90470.30469;227
Wed Aug 27 14:28:53 2008; TP Ant 1;89923.48438;228
Wed Aug 27 14:28:54 2008; TP Ant 1;90365.8125;229
Wed Aug 27 14:28:55 2008; TP Ant 1;91006.22656;230
Wed Aug 27 14:28:56 2008; TP Ant 1;91184.05469;231
Wed Aug 27 14:28:57 2008; TP Ant 1;90364.3125;232
Wed Aug 27 14:28:58 2008; TP Ant 1;91129.04688;233
Wed Aug 27 14:28:59 2008; TP Ant 1;90845.15625;234
Wed Aug 27 14:29:00 2008; TP Ant 1;90874.28125;235
Wed Aug 27 14:29:01 2008; TP Ant 1;91023.23438;236
Wed Aug 27 14:29:02 2008; TP Ant 1;90641.15625;237
Wed Aug 27 14:29:03 2008; TP Ant 1;90429.125;238
Wed Aug 27 14:29:04 2008; TP Ant 1;90905.3125;239
Wed Aug 27 14:29:05 2008; TP Ant 1;90194.61719;240
Wed Aug 27 14:29:06 2008; TP Ant 1;91058.58594;241
Wed Aug 27 14:29:07 2008; TP Ant 1;90940.25;242
Wed Aug 27 14:29:08 2008; TP Ant 1;91088.46875;243
Wed Aug 27 14:29:09 2008; TP Ant 1;90933.80469;244
Wed Aug 27 14:29:10 2008; TP Ant 1;90321.71875;245
Wed Aug 27 14:29:11 2008; TP Ant 1;90262.625;246
Wed Aug 27 14:29:12 2008; TP Ant 1;90422.30469;247
Wed Aug 27 14:29:13 2008; TP Ant 1;90374.82813;248
Wed Aug 27 14:29:14 2008; TP Ant 1;90822.5625;249
Wed Aug 27 14:29:15 2008; TP Ant 1;90857.15625;250
Wed Aug 27 14:29:16 2008; TP Ant 1;90965.90625;251
Wed Aug 27 14:29:17 2008; TP Ant 1;90632.14844;252
Wed Aug 27 14:29:18 2008; TP Ant 1;90330.64844;253
Wed Aug 27 14:29:19 2008; TP Ant 1;90255.78125;254
Wed Aug 27 14:29:20 2008; TP Ant 1;90261.53125;255
Wed Aug 27 14:29:21 2008; TP Ant 1;90203.625;256
Wed Aug 27 14:29:22 2008; TP Ant 1;90753.24219;257
Wed Aug 27 14:29:23 2008; TP Ant 1;91301.82813;258
Wed Aug 27 14:29:24 2008; TP Ant 1;90419.09375;259
Wed Aug 27 14:29:25 2008; TP Ant 1;90576.89063;260
Wed Aug 27 14:29:26 2008; TP Ant 1;90691.17188;261
Wed Aug 27 14:29:27 2008; TP Ant 1;90536.8125;262
Wed Aug 27 14:29:28 2008; TP Ant 1;90695.27344;263
Wed Aug 27 14:29:29 2008; TP Ant 1;90722.67188;264
Wed Aug 27 14:29:30 2008; TP Ant 1;90573.88281;265
Wed Aug 27 14:29:31 2008; TP Ant 1;90912.04688;266
Wed Aug 27 14:29:32 2008; TP Ant 1;90216.125;267
Wed Aug 27 14:29:33 2008; TP Ant 1;90985.98438;268
Wed Aug 27 14:29:34 2008; TP Ant 1;90708.5;269
Wed Aug 27 14:29:35 2008; TP Ant 1;90439.20313;270
Wed Aug 27 14:29:36 2008; TP Ant 1;90844.78906;271
Wed Aug 27 14:29:37 2008; TP Ant 1;90489.14844;272
Wed Aug 27 14:29:38 2008; TP Ant 1;90905.76563;273
Wed Aug 27 14:29:39 2008; TP Ant 1;90931.60938;274
Wed Aug 27 14:29:40 2008; TP Ant 1;90246.53906;275
Wed Aug 27 14:29:41 2008; TP Ant 1;90823.54688;276
Wed Aug 27 14:29:42 2008; TP Ant 1;91214.17188;277
Wed Aug 27 14:29:43 2008; TP Ant 1;90741.17188;278
Wed Aug 27 14:29:44 2008; TP Ant 1;90624.1875;279
Wed Aug 27 14:29:45 2008; TP Ant 1;90880.02344;280
Wed Aug 27 14:29:46 2008; TP Ant 1;91140.79688;281
Wed Aug 27 14:29:47 2008; TP Ant 1;90964.30469;282
Wed Aug 27 14:29:48 2008; TP Ant 1;90696.625;283
Wed Aug 27 14:29:49 2008; TP Ant 1;90998.82031;284
Wed Aug 27 14:29:50 2008; TP Ant 1;91073.15625;285
Wed Aug 27 14:29:51 2008; TP Ant 1;91196.24219;286
Wed Aug 27 14:29:52 2008; TP Ant 1;90674.55469;287
Wed Aug 27 14:29:53 2008; TP Ant 1;90802.45313;288
Wed Aug 27 14:29:54 2008; TP Ant 1;90771.4375;289
Wed Aug 27 14:29:55 2008; TP Ant 1;90598.79688;290
Wed Aug 27 14:29:56 2008; TP Ant 1;90894.95313;291
Wed Aug 27 14:29:57 2008; TP Ant 1;90619.85938;292
Wed Aug 27 14:29:58 2008; TP Ant 1;90645.86719;293
Wed Aug 27 14:29:59 2008; TP Ant 1;90604.29688;294
Wed Aug 27 14:30:00 2008; TP Ant 1;90693.75781;295
Wed Aug 27 14:30:01 2008; TP Ant 1;90260.9375;296
Wed Aug 27 14:30:02 2008; TP Ant 1;90500.46875;297
Wed Aug 27 14:30:03 2008; TP Ant 1;90860.42188;298
Wed Aug 27 14:30:04 2008; TP Ant 1;90887.01563;299
Wed Aug 27 14:30:05 2008; TP Ant 1;90630.07813;300
Wed Aug 27 14:30:06 2008; TP Ant 1;90766.82031;301
Wed Aug 27 14:30:07 2008; TP Ant 1;90575.32813;302
Wed Aug 27 14:30:08 2008; TP Ant 1;90988.03125;303
Wed Aug 27 14:30:09 2008; TP Ant 1;90846.70313;304
Wed Aug 27 14:30:10 2008; TP Ant 1;90262.29688;305
Wed Aug 27 14:30:11 2008; TP Ant 1;90790.64063;306
Wed Aug 27 14:30:12 2008; TP Ant 1;90882.67188;307
Wed Aug 27 14:30:13 2008; TP Ant 1;90449.57813;308
Wed Aug 27 14:30:14 2008; TP Ant 1;91151.60156;309
Wed Aug 27 14:30:15 2008; TP Ant 1;90224.82031;310
Wed Aug 27 14:30:16 2008; TP Ant 1;90593.73438;311
Wed Aug 27 14:30:17 2008; TP Ant 1;90344.89063;312
Wed Aug 27 14:30:18 2008; TP Ant 1;90881.95313;313
Wed Aug 27 14:30:19 2008; TP Ant 1;90492.94531;314
Wed Aug 27 14:30:20 2008; TP Ant 1;91212.17188;315
Wed Aug 27 14:30:21 2008; TP Ant 1;90489.40625;316
Wed Aug 27 14:30:22 2008; TP Ant 1;90469.5625;317
Wed Aug 27 14:30:23 2008; TP Ant 1;90877.78125;318
Wed Aug 27 14:30:24 2008; TP Ant 1;91234.95313;319
Wed Aug 27 14:30:25 2008; TP Ant 1;90604.86719;320
Wed Aug 27 14:30:26 2008; TP Ant 1;90397.76563;321
Wed Aug 27 14:30:27 2008; TP Ant 1;90601.21875;322
Wed Aug 27 14:30:28 2008; TP Ant 1;90678.79688;323
Wed Aug 27 14:30:29 2008; TP Ant 1;90324.03125;324
Wed Aug 27 14:30:30 2008; TP Ant 1;90346.3125;325
Wed Aug 27 14:30:31 2008; TP Ant 1;90313.79688;326
Wed Aug 27 14:30:32 2008; TP Ant 1;90409.21094;327
Wed Aug 27 14:30:33 2008; TP Ant 1;90314.29688;328
Wed Aug 27 14:30:34 2008; TP Ant 1;90664.9375;329
Wed Aug 27 14:30:35 2008; TP Ant 1;90702.6875;330
Wed Aug 27 14:30:36 2008; TP Ant 1;91109.17188;331
Wed Aug 27 14:30:37 2008; TP Ant 1;90767.53125;332
Wed Aug 27 14:30:38 2008; TP Ant 1;90370.0625;333
Wed Aug 27 14:30:39 2008; TP Ant 1;90859.82813;334
Wed Aug 27 14:30:40 2008; TP Ant 1;90753.65625;335
Wed Aug 27 14:30:41 2008; TP Ant 1;91016.47656;336
Wed Aug 27 14:30:42 2008; TP Ant 1;90610.00781;337
Wed Aug 27 14:30:43 2008; TP Ant 1;90494.59375;338
Wed Aug 27 14:30:44 2008; TP Ant 1;90459.10938;339
Wed Aug 27 14:30:45 2008; TP Ant 1;90418.17188;340
Wed Aug 27 14:30:46 2008; TP Ant 1;89561.0625;341
Wed Aug 27 14:30:47 2008; TP Ant 1;90260.10156;342
Wed Aug 27 14:30:48 2008; TP Ant 1;90370.46875;343
Wed Aug 27 14:30:49 2008; TP Ant 1;90546.66406;344
Wed Aug 27 14:30:50 2008; TP Ant 1;90496.09375;345
Wed Aug 27 14:30:51 2008; TP Ant 1;90116.73438;346
Wed Aug 27 14:30:52 2008; TP Ant 1;90466.29688;347
Wed Aug 27 14:30:53 2008; TP Ant 1;89841.64063;348
Wed Aug 27 14:30:54 2008; TP Ant 1;90617.60938;349
Wed Aug 27 14:30:55 2008; TP Ant 1;90232.5625;350
Wed Aug 27 14:30:56 2008; TP Ant 1;90713.04688;351
Wed Aug 27 14:30:57 2008; TP Ant 1;89884.54688;352
Wed Aug 27 14:30:58 2008; TP Ant 1;91374.41406;353
Wed Aug 27 14:30:59 2008; TP Ant 1;90941.49219;354
Wed Aug 27 14:31:00 2008; TP Ant 1;90515.78125;355
Wed Aug 27 14:31:01 2008; TP Ant 1;90832.0625;356
Wed Aug 27 14:31:02 2008; TP Ant 1;90761.51563;357
Wed Aug 27 14:31:03 2008; TP Ant 1;90655.3125;358
Wed Aug 27 14:31:04 2008; TP Ant 1;90671.17969;359
Wed Aug 27 14:31:05 2008; TP Ant 1;91203.3125;360
Wed Aug 27 14:31:06 2008; TP Ant 1;90592.75;361
Wed Aug 27 14:31:07 2008; TP Ant 1;90510.82031;362
Wed Aug 27 14:31:08 2008; TP Ant 1;90807.3125;363
Wed Aug 27 14:31:09 2008; TP Ant 1;90621.71875;364
Wed Aug 27 14:31:10 2008; TP Ant 1;90228.8125;365
Wed Aug 27 14:31:11 2008; TP Ant 1;90672.46875;366
Wed Aug 27 14:31:12 2008; TP Ant 1;90216.47656;367
Wed Aug 27 14:31:13 2008; TP Ant 1;90444.39063;368
Wed Aug 27 14:31:14 2008; TP Ant 1;90378.46875;369
Wed Aug 27 14:31:15 2008; TP Ant 1;90186.9375;370
Wed Aug 27 14:31:16 2008; TP Ant 1;90418.78125;371
Wed Aug 27 14:31:17 2008; TP Ant 1;90435.85156;372
Wed Aug 27 14:31:18 2008; TP Ant 1;90916.125;373
Wed Aug 27 14:31:19 2008; TP Ant 1;91118.23438;374
Wed Aug 27 14:31:20 2008; TP Ant 1;90481.55469;375
Wed Aug 27 14:31:21 2008; TP Ant 1;90454.15625;376
Wed Aug 27 14:31:22 2008; TP Ant 1;90665;377
Wed Aug 27 14:31:23 2008; TP Ant 1;90419.54688;378
Wed Aug 27 14:31:24 2008; TP Ant 1;90681.04688;379
Wed Aug 27 14:31:25 2008; TP Ant 1;90695.46875;380
Wed Aug 27 14:31:26 2008; TP Ant 1;90532.95313;381
Wed Aug 27 14:31:27 2008; TP Ant 1;90526.14844;382
Wed Aug 27 14:31:28 2008; TP Ant 1;91355.70313;383
Wed Aug 27 14:31:29 2008; TP Ant 1;90550.25781;384
Wed Aug 27 14:31:30 2008; TP Ant 1;90687.98438;385
Wed Aug 27 14:31:31 2008; TP Ant 1;90480.52344;386
Wed Aug 27 14:31:32 2008; TP Ant 1;90797.5625;387
Wed Aug 27 14:31:33 2008; TP Ant 1;90401.61719;388
Wed Aug 27 14:31:34 2008; TP Ant 1;90439.25781;389
Wed Aug 27 14:31:35 2008; TP Ant 1;90801.14844;390
Wed Aug 27 14:31:36 2008; TP Ant 1;90948.28125;391
Wed Aug 27 14:31:37 2008; TP Ant 1;90887.75781;392
Wed Aug 27 14:31:38 2008; TP Ant 1;90334.54688;393
Wed Aug 27 14:31:39 2008; TP Ant 1;90867.67188;394
Wed Aug 27 14:31:40 2008; TP Ant 1;90465.41406;395
Wed Aug 27 14:31:41 2008; TP Ant 1;90057.70313;396
Wed Aug 27 14:31:42 2008; TP Ant 1;90433.94531;397
Wed Aug 27 14:31:43 2008; TP Ant 1;90150.48438;398
Wed Aug 27 14:31:44 2008; TP Ant 1;90626.5625;399
Wed Aug 27 14:31:45 2008; TP Ant 1;91180.74219;400
Wed Aug 27 14:31:46 2008; TP Ant 1;90790.8125;401
Wed Aug 27 14:31:47 2008; TP Ant 1;91688.04688;402
Wed Aug 27 14:31:48 2008; TP Ant 1;90724.71094;403
Wed Aug 27 14:31:49 2008; TP Ant 1;91006.17188;404
Wed Aug 27 14:31:50 2008; TP Ant 1;91100.21094;405
